x, y
-49.28836, -21.26682
-49.27452, -21.25451
-49.25098, -21.22996
-49.27308, -21.18310
-49.27452, -21.17402
-49.28046, -21.15053
-49.23212, -21.07447
-49.21825, -21.06717
-49.21645, -21.04250
-49.21902, -21.03965
-49.21975, -20.97865
-49.23637, -20.94637
-49.27082, -20.97136
-49.25976, -20.93666
-49.25452, -20.88862
-49.28524, -20.84975
-49.28611, -20.85573
-49.26448, -20.83937
-49.23752, -20.82702
-49.20017, -20.94402
-49.14230, -20.83792
-49.08343, -20.82699
-48.98388, -20.87605
-48.91123, -20.88598
-48.84097, -20.96635
-48.90739, -21.04235
-48.95840, -21.05930
-48.94180, -21.08501
-48.91866, -21.11053
-49.00312, -21.11077
-49.06963, -21.15741
-49.01945, -21.22110
-49.07995, -21.20277
-49.05497, -21.25063
-49.07633, -21.25084
-49.12826, -21.23454
-49.18619, -21.27239
-49.21897, -21.20435
-49.26073, -21.25645
-49.28836, -21.26682
